,posted,neighborhood,post title,URL,price
0,2021-10-08 17:01:00, Glendale san fernando valley ,"Great Location - 2 bed, 2 bath, Luxury Remodel!",https://losangeles.craigslist.org/sfv/apa/d/glendale-great-location-bed-bath-luxury/7391552934.html,"
$2,475
"
1,2021-10-08 17:00:00, LAWNDALE westside-southbay-310 ,LAWNDALE * 3 BD 1 1/2 BATH,https://losangeles.craigslist.org/wst/apa/d/lawndale-lawndale-bd-bath/7391558689.html,"
$2,495
"
2,2021-10-08 16:59:00, Lancaster antelope valley ,Make The Springs Your New Home,https://losangeles.craigslist.org/ant/apa/d/lancaster-make-the-springs-your-new-home/7391558300.html,"
$2,045
"
3,2021-10-08 16:59:00, Arts District central LA 213323 ,Fall is upon us. Experience year-round luxury at Amp Lofts!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fall-is-upon-us-experience/7391554757.html,"
$3,052
"
4,2021-10-08 16:59:00, LAKE BALBOA VAN NUYS san fernando valley ,HALF MONTH FREE RENT* SPACIOUS 3BED2.5BATH  TOWNHOME,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-half-month-free-rent-spacious/7391546334.html,"
$2,995
"
5,2021-10-08 16:59:00, North Hollywood CA san fernando valley ,Well-Equipped Kitchen in This Convenient 1x1 Home!,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-well-equipped-kitchen/7391558087.html,"
$1,865
"
6,2021-10-08 16:59:00, Northridge California - Near CSUN san fernando valley ,Studio w/shared bathroom - 1 MONTH FREE RENT - All utilities included,https://losangeles.craigslist.org/sfv/apa/d/northridge-studio-shared-bathroom-month/7391558075.html,"
$1,199
"
7,2021-10-08 16:58:00, Hollywood central LA 213323 ,BEAUTIFUL 1 BR - HEART OF HOLLYWOOD - NO APP. FEE!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-br-heart-of/7391555831.html,"
$2,600
"
8,2021-10-08 16:58:00, Hollywood central LA 213323 ,"The right apartment just for you, just in time",https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-right-apartment-just/7391557836.html,"
$2,083
"
9,2021-10-08 16:58:00, Hollywood central LA 213323 ,AMAZING 1 BR - HEART OF HOLLYWOOD - NO APP. FEE!!!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-amazing-br-heart-of/7391555635.html,"
$2,600
"
10,2021-10-08 16:57:00, Hollywood central LA 213323 ,MODERN BUILDING - CENTER OF HOLLYWOOD - NO APP. FEE!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-modern-building-center-of/7391554990.html,"
$2,600
"
11,2021-10-08 16:57:00, Glendale san fernando valley ,Beautiful & Spacious 1x1 in Downtown Glendale - Tour Today! - $2492,https://losangeles.craigslist.org/sfv/apa/d/glendale-beautiful-spacious-1x1-in/7391553934.html,"
$2,492
"
12,2021-10-08 16:56:00, Hollywood central LA 213323 ,FANTASTIC 1 BR - HEART OF HOLLYWOOD! - NO APP. FEE!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fantastic-br-heart-of/7391555188.html,"
$2,600
"
13,2021-10-08 16:56:00,  san fernando valley ,"Minutes from Amazing Shops & Dining, Fresh Paint, Gated Community",https://losangeles.craigslist.org/sfv/apa/d/glendale-minutes-from-amazing-shops/7391555165.html,"
$2,475
"
14,2021-10-08 16:55:00,  san fernando valley ,"Minutes from Amazing Shops & Dining, Fresh Paint, Gated Community",https://losangeles.craigslist.org/sfv/apa/d/glendale-minutes-from-amazing-shops/7391553112.html,"
$3,221
"
15,2021-10-08 16:55:00, 43530 Gadsden Avenue Lancaster CA antelope valley ,Call us today ! Our 1 Bedroom 1 Bathroom is perfect for you !,https://losangeles.craigslist.org/ant/apa/d/lancaster-call-us-today-our-bedroom/7391542787.html,"
$1,772
"
16,2021-10-08 16:54:00, Beverly Hills westside-southbay-310 ,"***LOOK AND LEASE SPECIAL $1,000 OFF FIRST MONTH'S RENT!!***",https://losangeles.craigslist.org/wst/apa/d/los-angeles-look-and-lease-special-1000/7391556623.html,"
$3,650
"
17,2021-10-08 16:54:00,  san fernando valley ,"Renovated 2 bed/2 bath - Great Building, Pool, in-unit laundry!",https://losangeles.craigslist.org/sfv/apa/d/glendale-renovated-bed-bath-great/7391552886.html,"
$2,475
"
18,2021-10-08 16:54:00, Hollywood central LA 213323 ,Last Studio Between Melrose and Sunset Blvd! Fully Upgraded $1595,https://losangeles.craigslist.org/lac/apa/d/los-angeles-last-studio-between-melrose/7391550157.html,"
$1,595
"
19,2021-10-08 16:53:00, North Hollywood san fernando valley ,$1475 1bd/1ba in triplex.,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bd-1ba-in-triplex/7391556184.html,"
$1,475
"
20,2021-10-08 16:53:00,  san fernando valley ,"Resort-Style Heated Swimming Pool, Barbecue Area with Gas Grills",https://losangeles.craigslist.org/sfv/apa/d/glendale-resort-style-heated-swimming/7391556018.html,"
$2,799
"
21,2021-10-08 16:53:00, West Hollywood central LA 213323 ,Four Leg Friends Are Welcomed!!,https://losangeles.craigslist.org/lac/apa/d/west-hollywood-four-leg-friends-are/7391556010.html,"
$2,352
"
22,2021-10-08 16:52:00, SW Pasadena san gabriel valley ,"Beautiful, Upgraded, Fabulous View",https://losangeles.craigslist.org/sgv/apa/d/pasadena-beautiful-upgraded-fabulous/7391555874.html,"
$3,500
"
23,2021-10-08 16:52:00, Norwalk near Downey Cerritos Santa Fe Springs Whittier long beach  562 ,"Large 2x2 Fully Renovated w/washer dryer, and pet friendly!",https://losangeles.craigslist.org/lgb/apa/d/norwalk-large-2x2-fully-renovated/7391525012.html,"
$2,880
"
24,2021-10-08 16:51:00, Studio city san fernando valley ,"LARGE pet friendly studio, hardwood +",https://losangeles.craigslist.org/sfv/apa/d/studio-city-large-pet-friendly-studio/7391555311.html,"
$1,795
"
25,2021-10-08 16:51:00, Franklin Village central LA 213323 ,"High Speed Internet available, Outdoor Spa, Swimming Pool, Microwave",https://losangeles.craigslist.org/lac/apa/d/los-angeles-high-speed-internet/7391555294.html,"
$2,374
"
26,2021-10-08 16:51:00, Glendale central LA 213323 ,You’ve been curious - Next On Lex,https://losangeles.craigslist.org/lac/apa/d/glendale-youve-been-curious-next-on-lex/7391551742.html,"
$2,350
"
27,2021-10-08 16:48:00, 550 N. Figueroa st. Los Angeles CA central LA 213323 ,"1 bed 1 bath, free parking",https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-free-parking/7391538997.html,"
$2,956
"
28,2021-10-08 16:48:00,  westside-southbay-310 ,2 Bed/ 2 Bath Loft w/ Den!,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-bed-bath-loft-den/7391550799.html,"
$4,161
"
29,2021-10-08 16:48:00,  san fernando valley ,Beautifully Remodeled 2 Bed/2 Ba - GREAT location!,https://losangeles.craigslist.org/sfv/apa/d/glendale-beautifully-remodeled-bed-ba/7391543534.html,"
$2,475
"
30,2021-10-08 16:47:00, San Dimas san gabriel valley ,"Walk-In Closets, Programmable Thermostats, Wired for technology",https://losangeles.craigslist.org/sgv/apa/d/san-dimas-walk-in-closets-programmable/7391553895.html,"
$2,245
"
31,2021-10-08 16:47:00, DTLA central LA 213323 ,Roommate Approved!  With Lots of Closet Space!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-roommate-approved-with-lots/7391546638.html,"
$2,941
"
32,2021-10-08 16:46:00,  san fernando valley ,"Curved shower curtain rods, Sophisticated ceramic tile flooring",https://losangeles.craigslist.org/sfv/apa/d/northridge-curved-shower-curtain-rods/7391553702.html,"
$2,900
"
33,2021-10-08 16:46:00, CULVER CITY westside-southbay-310 ,Charming – Separate & Private Upper Studio Apt – Quiet – Safe,https://losangeles.craigslist.org/wst/apa/d/culver-city-charming-separate-private/7391553623.html,"
$1,350
"
34,2021-10-08 16:46:00,  central LA 213323 ,Renovated One Bedroom One Bath- Move-In Ready!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-one-bedroom-one/7391553596.html,"
$2,411
"
35,2021-10-08 16:46:00, 930 Figueroa Terrace Los Angeles CA central LA 213323 ,"On Site Maintenance, Clubhouse, Large Refreshing Pool and Spa",https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-site-maintenance/7391551748.html,"
$2,773
"
36,2021-10-08 16:45:00, Los Angeles central LA 213323 ,"Apt 1522,  Balcony, Rooftop Lounge, Pet Friendly, Pool, Jacuzzi",https://losangeles.craigslist.org/lac/apa/d/los-angeles-apt-1522-balcony-rooftop/7391553393.html,"
$3,145
"
37,2021-10-08 16:45:00,  central LA 213323 ,Affordable Housing in DTLA! 1-bedroom,https://losangeles.craigslist.org/lac/apa/d/los-angeles-affordable-housing-in-dtla/7391553439.html,"
$1,594
"
38,2021-10-08 16:45:00, 5119 Maplewood Ave Los Angeles CA central LA 213323 ,"Cable Ready, Electronic Thermostat, Elevator",https://losangeles.craigslist.org/lac/apa/d/los-angeles-cable-ready-electronic/7391551213.html,"
$2,855
"
39,2021-10-08 16:45:00, 427 W 5th Street central LA 213323 ,"Studio, one, two and three-bedroom homes, Built-in window shades",https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-one-two-and-three/7391553340.html,"
$3,570
"
40,2021-10-08 16:45:00, WEST COVINA san gabriel valley ,Spacious studio available for move in on 10.16.2021,https://losangeles.craigslist.org/sgv/apa/d/west-covina-spacious-studio-available/7391553174.html,"
$1,804
"
41,2021-10-08 16:45:00, Little Tokyo central LA 213323 ,"Tranquil pool and spa, In-home washers and dryers, Pet friendly",https://losangeles.craigslist.org/lac/apa/d/los-angeles-tranquil-pool-and-spa-in/7391543880.html,"
$3,437
"
42,2021-10-08 16:44:00, Northridge san fernando valley ,House for rent,https://losangeles.craigslist.org/sfv/apa/d/northridge-house-for-rent/7391545956.html,"
$2,700
"
43,2021-10-08 16:44:00, Los Angeles central LA 213323 ,"Apt 804,  Balcony, Rooftop Lounge, Pet Friendly, Pool, Jacuzzi",https://losangeles.craigslist.org/lac/apa/d/los-angeles-apt-804-balcony-rooftop/7391552871.html,"
$2,960
"
44,2021-10-08 16:42:00, 18414 W. Jakes Way Canyon Country CA san fernando valley ,"Pantry, 5 Refreshing Pools and Spas, Individual Washers & Dryers",https://losangeles.craigslist.org/sfv/apa/d/canyon-country-pantry-refreshing-pools/7391515443.html,"
$2,420
"
45,2021-10-08 16:41:00,  san fernando valley ,"Sparkling Pool, Ceiling Fan, Wired for High-Speed Internet",https://losangeles.craigslist.org/sfv/apa/d/la-crescenta-sparkling-pool-ceiling-fan/7391542452.html,"
$2,840
"
46,2021-10-08 16:41:00,  san fernando valley ,Beautifully Remodeled 2 bed/2 ba - Luxury Finishes!,https://losangeles.craigslist.org/sfv/apa/d/glendale-beautifully-remodeled-bed-ba/7391543543.html,"
$2,475
"
47,2021-10-08 16:40:00, DTLA central LA 213323 ,Reduced from $2892 to $2799 This Weekend!!  Plus 2 Weeks Free!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-reduced-from-2892-to-2799/7391539459.html,"
$2,799
"
48,2021-10-08 16:39:00,  central LA 213323 ,"New Hardwood Floors, Free Weights, Window Coverings",https://losangeles.craigslist.org/lac/apa/d/los-angeles-new-hardwood-floors-free/7391551205.html,"
$1,035
"
49,2021-10-08 16:39:00,  san fernando valley ,"Close to shopping and dining! LARGE 2 Bed, 2 Bath",https://losangeles.craigslist.org/sfv/apa/d/glendale-close-to-shopping-and-dining/7391543524.html,"
$2,475
"
50,2021-10-08 16:38:00, 1216 E. Lexington Drive #2 san fernando valley ,Cozy Two Bedroom In Glendale,https://losangeles.craigslist.org/sfv/apa/d/glendale-cozy-two-bedroom-in-glendale/7391550900.html,"
$2,050
"
51,2021-10-08 16:38:00, Glendale central LA 213323 ,Peaceful Studio Glendale separate kitchen,https://losangeles.craigslist.org/lac/apa/d/glendale-peaceful-studio-glendale/7391550557.html,"
$1,485
"
52,2021-10-08 16:38:00, 616 St. Paul Ave. Los Angeles CA central LA 213323 ,"Fax and Copy Room, Nine Foot Ceilings, Crown Moldings",https://losangeles.craigslist.org/lac/apa/d/los-angeles-fax-and-copy-room-nine-foot/7391542092.html,"
$2,220
"
53,2021-10-08 16:38:00, Los Angeles westside-southbay-310 ,"Located in one of LA’s most desirable areas, minutes to Beverly Hills,",https://losangeles.craigslist.org/wst/apa/d/los-angeles-located-in-one-of-las-most/7391550743.html,"
$12,000
"
54,2021-10-08 16:37:00, Close to Ventura Blvd san fernando valley ,"3+2.5 in Encino | Gourmet Kitchen With Black Whirlpool Appliances, W/D",https://losangeles.craigslist.org/sfv/apa/d/encino-325-in-encino-gourmet-kitchen/7391536770.html,"
$3,595
"
55,2021-10-08 16:36:00,  central LA 213323 ,BREATHTAKING HOLLYWOOD VIEWS WITH (2) PARKING SPACES FOR PENTHOUSE.,https://losangeles.craigslist.org/lac/apa/d/los-angeles-breathtaking-hollywood/7391546209.html,"
$4,549
"
56,2021-10-08 16:36:00, Hollywood central LA 213323 ,THIS 3 BEDROOM APARTMENT WON'T LAST ! TOUR TODAY !,https://losangeles.craigslist.org/lac/apa/d/los-angeles-this-bedroom-apartment-wont/7391531083.html,"
$5,099
"
57,2021-10-08 16:35:00, 4805 N Bakman Ave North Hollywood CA san fernando valley ,Spacious 1 Bedroom Available in Brand NEW Luxury Community,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-spacious-bedroom/7391549444.html,"
$2,632
"
58,2021-10-08 16:34:00,  central LA 213323 ,"Stainless Steel Appliances, Fitness Center, Dishwasher, Gas Range",https://losangeles.craigslist.org/lac/apa/d/los-angeles-stainless-steel-appliances/7391549052.html,"
$2,172
"
59,2021-10-08 16:34:00,  san fernando valley ,"Lease today, relax tomorrow! Spacious dual-story renovated home- CALL!",https://losangeles.craigslist.org/sfv/apa/d/glendale-lease-today-relax-tomorrow/7391543579.html,"
$3,221
"
60,2021-10-08 16:34:00,  antelope valley ,2 Bedroom 2 Bath- Santa Clarita-Renovated Apartment Waiting for You!,https://losangeles.craigslist.org/ant/apa/d/canyon-country-bedroom-bath-santa/7391513910.html,"
$2,499
"
61,2021-10-08 16:34:00, 4805 N Bakman Ave North Hollywood CA san fernando valley ,Spacious 2 Bedroom Available in Brand NEW Luxury Community,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-spacious-bedroom/7391548889.html,"
$3,492
"
62,2021-10-08 16:33:00,  antelope valley ,"Pool, Patio/ Balcony, Highway Access",https://losangeles.craigslist.org/ant/apa/d/north-hollywood-pool-patio-balcony/7391548794.html,"
$2,849
"
63,2021-10-08 16:33:00, Santa Monica westside-southbay-310 ,Lovely bungalow-style Unit * Laminate flooring * Call for more info! *,https://losangeles.craigslist.org/wst/apa/d/santa-monica-lovely-bungalow-style-unit/7391548618.html,"
$2,495
"
64,2021-10-08 16:32:00, 5351 San Vicente Boulevard Los Angeles CA central LA 213323 ,CENTRALLY LOCATED STUDIOS AVAILABLE IMMEDIATELY!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-centrally-located-studios/7391540205.html,"
$1,818
"
65,2021-10-08 16:32:00, 10833 Wilshire blvd westside-southbay-310 ,Wilshire View Beautiful 2x2 On The Corridor w/24hr Valet #224,https://losangeles.craigslist.org/wst/apa/d/los-angeles-wilshire-view-beautiful-2x2/7391548292.html,"
$5,354
"
66,2021-10-08 16:31:00, Los Angeles central LA 213323 ,Renovated 1BR Verdugo Mesa! Call Now! Pet Friendly.. Special Offer,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-1br-verdugo-mesa/7391544954.html,"
$1,950
"
67,2021-10-08 16:30:00, 12750 W Millennium Los Angeles CA westside-southbay-310 ,"Private street entrances, Designer-appointed powder rooms, Balconies",https://losangeles.craigslist.org/wst/apa/d/playa-vista-private-street-entrances/7391518915.html,"
$4,814
"
68,2021-10-08 16:30:00, Brentwood - Los Angeles westside-southbay-310 ,"Granite countertops, Balcony or patio, Ceiling fan in the dining area",https://losangeles.craigslist.org/wst/apa/d/los-angeles-granite-countertops-balcony/7391519313.html,"
$2,766
"
69,2021-10-08 16:28:00, Long Beach long beach  562 ,"Striking Corner 2 Bed w/a Lavish Window View, Balcony, & Free Parking",https://losangeles.craigslist.org/lgb/apa/d/long-beach-striking-corner-bed-a-lavish/7391546840.html,"
$3,249
"
70,2021-10-08 16:28:00, CANOGA PARK san fernando valley ,HALF MONTH FREE RENT* SPACIOUS 3BED2BATH CORNER END UNITCONDO !,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-half-month-free-rent/7391542360.html,"
$2,695
"
71,2021-10-08 16:27:00, Whittier long beach  562 ,Very spacious 1bd1ba with all appliances,https://losangeles.craigslist.org/lgb/apa/d/whittier-very-spacious-1bd1ba-with-all/7391546454.html,"
$2,063
"
72,2021-10-08 16:27:00, 909 W. Temple St. Los Angeles CA central LA 213323 ,"Studio top floor overlooking pool, 3x pools, 3x gyms and move theater!",https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-top-floor/7391517994.html,"
$2,172
"
73,2021-10-08 16:26:00, SUN VALLEY san fernando valley ,"SPACIOUS HOUSE, 6 BEDS 4 BATHS, CENTRAL AC, WD FLR, BIG BACKYARD,",https://losangeles.craigslist.org/sfv/apa/d/sun-valley-spacious-house-beds-baths/7391546146.html,"
$6,400
"
74,2021-10-08 16:26:00, Studio City san fernando valley ,Rent a great 1 bed / 1 bath! The Plaza is waiting for you!,https://losangeles.craigslist.org/sfv/apa/d/valley-village-rent-great-bed-bath-the/7391546000.html,"
$2,165
"
