,Posted on,Title,Link,Neighborhood,Price
0,2021-10-09 13:25,"<a class=""result-title hdrlnk"" data-id=""7389765948"" href=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-private-room-in-big-house/7389765948.html"" id=""postid_7389765948"">Private room in Big House (Utilities Included - Washer / Dryer)</a>",https://losangeles.craigslist.org/lac/roo/d/los-angeles-private-room-in-big-house/7389765948.html, (Los Angeles  near USC / DTLA central LA 213/323 ),975.0
1,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7378145510"" href=""https://losangeles.craigslist.org/sfv/apa/d/canoga-park-ready-to-find-your-new-home/7378145510.html"" id=""postid_7378145510"">Ready to find your new home? LOOK NO FURTHER! LIVE•AT•VERT</a>",https://losangeles.craigslist.org/sfv/apa/d/canoga-park-ready-to-find-your-new-home/7378145510.html, ( san fernando valley ),2355.0
2,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7386477213"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-remodeled/7386477213.html"" id=""postid_7386477213"">1 Bedroom, 1 Bath Remodeled Apartment (1 Parking - Central Location)</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-remodeled/7386477213.html, (West Hollywood - Fairfax / Santa Monica Blvd central LA 213/323 ),2095.0
3,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7391906242"" href=""https://losangeles.craigslist.org/wst/reo/d/beverly-hills-new-high-rise-accepting/7391906242.html"" id=""postid_7391906242"">new high rise accepting investors, pre-lessors</a>",https://losangeles.craigslist.org/wst/reo/d/beverly-hills-new-high-rise-accepting/7391906242.html, (los angeles westside-southbay-310 ),
4,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7385433156"" href=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-make-casa-granada-your-new/7385433156.html"" id=""postid_7385433156"">Make Casa Granada Your New Home Today!</a>",https://losangeles.craigslist.org/wst/apa/d/los-angeles-make-casa-granada-your-new/7385433156.html, ( westside-southbay-310 ),3400.0
5,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7390223357"" href=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-male-roommate-wanted-to/7390223357.html"" id=""postid_7390223357"">Male roommate wanted To share gr8 pad in best area of  L A $750/$1270</a>",https://losangeles.craigslist.org/lac/roo/d/los-angeles-male-roommate-wanted-to/7390223357.html, (Hollywood / los Feliz central LA 213/323 ),1270.0
6,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7391909518"" href=""https://losangeles.craigslist.org/sfv/roo/d/burbank-burbank-downtown-share-room/7391909518.html"" id=""postid_7391909518"">Burbank Downtown share room</a>",https://losangeles.craigslist.org/sfv/roo/d/burbank-burbank-downtown-share-room/7391909518.html, (Burbank san fernando valley ),550.0
7,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7391901763"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-barbecue-picnic-area/7391901763.html"" id=""postid_7391901763"">Barbecue/ Picnic Area, Expansive Sundecks, Clubhouse</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-barbecue-picnic-area/7391901763.html," (930 Figueroa Terrace, Los Angeles, CA central LA 213/323 )",2281.0
8,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7378499979"" href=""https://losangeles.craigslist.org/wst/reo/d/perfect-for-cannabis-privacy-wind-sun/7378499979.html"" id=""postid_7378499979"">Perfect for Cannabis - Privacy, Wind, Sun &amp; right next to the Grid</a>",https://losangeles.craigslist.org/wst/reo/d/perfect-for-cannabis-privacy-wind-sun/7378499979.html, (Rosamond westside-southbay-310 ),1200000.0
9,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7381665527"" href=""https://losangeles.craigslist.org/ant/reo/d/perfect-for-cannabis-privacy-wind-sun/7381665527.html"" id=""postid_7381665527"">Perfect for Cannabis - Privacy, Wind, Sun &amp; right next to the Grid</a>",https://losangeles.craigslist.org/ant/reo/d/perfect-for-cannabis-privacy-wind-sun/7381665527.html, (Rosamond antelope valley ),1200000.0
10,2021-10-09 13:24,"<a class=""result-title hdrlnk"" data-id=""7391909370"" href=""https://losangeles.craigslist.org/wst/apa/d/beautiful-bedroom-near-beach/7391909370.html"" id=""postid_7391909370"">Beautiful 1 Bedroom near Beach</a>",https://losangeles.craigslist.org/wst/apa/d/beautiful-bedroom-near-beach/7391909370.html, (Venice westside-southbay-310 ),2095.0
11,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391909256"" href=""https://losangeles.craigslist.org/lgb/prk/d/long-beach-retail-sold-here-come-and/7391909256.html"" id=""postid_7391909256"">!! retail sold here!! come and check it out</a>",https://losangeles.craigslist.org/lgb/prk/d/long-beach-retail-sold-here-come-and/7391909256.html, (long beach long beach / 562 ),0.0
12,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391906810"" href=""https://losangeles.craigslist.org/wst/roo/d/santa-monica-fully-furnished-bedroom/7391906810.html"" id=""postid_7391906810"">Fully Furnished Bedroom with Balcony View ~ Short or Long Term</a>",https://losangeles.craigslist.org/wst/roo/d/santa-monica-fully-furnished-bedroom/7391906810.html, (Santa Monica westside-southbay-310 ),750.0
13,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391902920"" href=""https://losangeles.craigslist.org/ant/apa/d/canyon-country-linen-and-coat-closets/7391902920.html"" id=""postid_7391902920"">Linen and Coat Closets, Extra Storage Room, Air Conditioning</a>",https://losangeles.craigslist.org/ant/apa/d/canyon-country-linen-and-coat-closets/7391902920.html," (28856 N. Silver Saddle Cr., Los Angeles, CA antelope valley )",1999.0
14,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391909094"" href=""https://losangeles.craigslist.org/lgb/prk/d/long-beach-afforable-storages-call-us/7391909094.html"" id=""postid_7391909094"">!!Afforable storages!! call us for more info</a>",https://losangeles.craigslist.org/lgb/prk/d/long-beach-afforable-storages-call-us/7391909094.html, (long beach long beach / 562 ),0.0
15,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391908982"" href=""https://losangeles.craigslist.org/lgb/prk/d/long-beach-truck-rental/7391908982.html"" id=""postid_7391908982"">Truck rental-!!</a>",https://losangeles.craigslist.org/lgb/prk/d/long-beach-truck-rental/7391908982.html, (Long Beach long beach / 562 ),0.0
16,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7391905049"" href=""https://losangeles.craigslist.org/wst/prk/d/torrance-month-to-month-rentals-735/7391905049.html"" id=""postid_7391905049"">Month to Month Rentals! [735 W Carson street] – US Storage Centers</a>",https://losangeles.craigslist.org/wst/prk/d/torrance-month-to-month-rentals-735/7391905049.html, (Torrance westside-southbay-310 ),0.0
17,2021-10-09 13:23,"<a class=""result-title hdrlnk"" data-id=""7381169385"" href=""https://losangeles.craigslist.org/sfv/apa/d/northridge-walking-distance-to-csun/7381169385.html"" id=""postid_7381169385"">Walking Distance to CSUN, Efficient Appliances, Courtyard</a>",https://losangeles.craigslist.org/sfv/apa/d/northridge-walking-distance-to-csun/7381169385.html, ( san fernando valley ),1625.0
18,2021-10-09 13:22,"<a class=""result-title hdrlnk"" data-id=""7391880071"" href=""https://losangeles.craigslist.org/wst/apa/d/palos-verdes-peninsula-spacious-bedroom/7391880071.html"" id=""postid_7391880071"">Spacious 2 bedroom with City Views!</a>",https://losangeles.craigslist.org/wst/apa/d/palos-verdes-peninsula-spacious-bedroom/7391880071.html, (Rancho Palos Verdes westside-southbay-310 ),3642.0
19,2021-10-09 13:22,"<a class=""result-title hdrlnk"" data-id=""7391908521"" href=""https://losangeles.craigslist.org/lac/apa/d/venice-beautiful-bedroom-near-venice/7391908521.html"" id=""postid_7391908521"">Beautiful 1 Bedroom near Venice Beach</a>",https://losangeles.craigslist.org/lac/apa/d/venice-beautiful-bedroom-near-venice/7391908521.html, (Venice Beach central LA 213/323 ),2095.0
20,2021-10-09 13:22,"<a class=""result-title hdrlnk"" data-id=""7384259184"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-one-bedroom/7384259184.html"" id=""postid_7384259184"">RENOVATED ONE BEDROOM APARTMENTS AVAILABLE NOW! AMENITIES ON-SITE!</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-one-bedroom/7384259184.html," (5351 San Vicente Boulevard, Los Angeles, CA central LA 213/323 )",2250.0
21,2021-10-09 13:22,"<a class=""result-title hdrlnk"" data-id=""7391908424"" href=""https://losangeles.craigslist.org/wst/apa/d/carson-bedroom-bath-stylish-interior/7391908424.html"" id=""postid_7391908424"">1 Bedroom 1 Bath Stylish Interior Come tour Now!</a>",https://losangeles.craigslist.org/wst/apa/d/carson-bedroom-bath-stylish-interior/7391908424.html, (Carson westside-southbay-310 ),2319.0
22,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7391905888"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-berber-carpeting-crown/7391905888.html"" id=""postid_7391905888"">Berber Carpeting, Crown Molding, Outdoor Putting Green</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-berber-carpeting-crown/7391905888.html," (550 N. Figueroa st., Los Angeles, CA central LA 213/323 )",2750.0
23,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7386736045"" href=""https://losangeles.craigslist.org/wst/apa/d/santa-monica-controlled-access/7386736045.html"" id=""postid_7386736045"">Controlled Access, Emergency Maintenance, Washbox Dry Cleaning Service</a>",https://losangeles.craigslist.org/wst/apa/d/santa-monica-controlled-access/7386736045.html, ( westside-southbay-310 ),2318.0
24,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7391908220"" href=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-stunning-rare-large-bed/7391908220.html"" id=""postid_7391908220"">STUNNING &amp; RARE Large 1 bed 1 bath !</a>",https://losangeles.craigslist.org/wst/apa/d/los-angeles-stunning-rare-large-bed/7391908220.html, (1920 sawtelle blvd westside-southbay-310 ),2650.0
25,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7391877898"" href=""https://losangeles.craigslist.org/lgb/apa/d/long-beach-walk-to-the-lbc-metro/7391877898.html"" id=""postid_7391877898"">-Walk to the LBC Metro, shopping &amp; dining!</a>",https://losangeles.craigslist.org/lgb/apa/d/long-beach-walk-to-the-lbc-metro/7391877898.html, (Downtown Long Beach long beach / 562 ),2384.0
26,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7391908170"" href=""https://losangeles.craigslist.org/wst/sub/d/santa-monica-fully-furnished-bedroom/7391908170.html"" id=""postid_7391908170"">Fully Furnished Bedroom with Balcony View ~ Short or Long Term</a>",https://losangeles.craigslist.org/wst/sub/d/santa-monica-fully-furnished-bedroom/7391908170.html, (Santa Monica westside-southbay-310 ),750.0
27,2021-10-09 13:21,"<a class=""result-title hdrlnk"" data-id=""7391887626"" href=""https://losangeles.craigslist.org/wst/prk/d/harbor-city-right-now-special-50off-all/7391887626.html"" id=""postid_7391887626"">RIGHT NOW !!! SPECIAL 50%OFF ALL SIZE UNITS @ US Storage Centers 253RD</a>",https://losangeles.craigslist.org/wst/prk/d/harbor-city-right-now-special-50off-all/7391887626.html, (Harbor City westside-southbay-310 ),0.0
28,2021-10-09 13:20,"<a class=""result-title hdrlnk"" data-id=""7388160272"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-outdoor-putting-green/7388160272.html"" id=""postid_7388160272"">Outdoor Putting Green, Granite Countertops, Dishwasher</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-outdoor-putting-green/7388160272.html," (550 N. Figueroa st., Los Angeles, CA central LA 213/323 )",2281.0
29,2021-10-09 13:20,"<a class=""result-title hdrlnk"" data-id=""7391882185"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with/7391882185.html"" id=""postid_7391882185"">Spacious Studio with Natural Light &amp; Huge Balcony!</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with/7391882185.html, (South Park central LA 213/323 ),2400.0
30,2021-10-09 13:20,"<a class=""result-title hdrlnk"" data-id=""7391907461"" href=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-sunny-bright-2bed-2bath-all/7391907461.html"" id=""postid_7391907461"">Sunny bright 2bed 2bath, ALL Hardwood Floors! Pets OK!</a>",https://losangeles.craigslist.org/wst/apa/d/los-angeles-sunny-bright-2bed-2bath-all/7391907461.html, (1920 sawtelle blvd westside-southbay-310 ),3395.0
31,2021-10-09 13:20,"<a class=""result-title hdrlnk"" data-id=""7382391270"" href=""https://losangeles.craigslist.org/sgv/reb/d/arcadia-quick-closing-hard-money-loans/7382391270.html"" id=""postid_7382391270"">Quick Closing Hard Money Loans</a>",https://losangeles.craigslist.org/sgv/reb/d/arcadia-quick-closing-hard-money-loans/7382391270.html, ( san gabriel valley ),
32,2021-10-09 13:19,"<a class=""result-title hdrlnk"" data-id=""7391901026"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-den-study-automatic/7391901026.html"" id=""postid_7391901026"">Den/Study, Automatic Dishwasher, Closet Organizers</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-den-study-automatic/7391901026.html," (616 St. Paul Ave., Los Angeles, CA central LA 213/323 )",2326.0
33,2021-10-09 13:19,"<a class=""result-title hdrlnk"" data-id=""7391901571"" href=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-lounge-close-to-public/7391901571.html"" id=""postid_7391901571"">Lounge, Close to Public Transportation, Concierge, Covered Parking</a>",https://losangeles.craigslist.org/lac/apa/d/los-angeles-lounge-close-to-public/7391901571.html, ( central LA 213/323 ),11140.0
